ID_VIDEOJUEGO,Nombre Videojuego,Año Publicación,Género,Ventas Norteamérica,Ventas Europa,Ventas Japón,Ventas Otros,Ventas Total,Puntaje Críticos,Cantidad Críticos,Puntaje Usuarios,Cantidad Usuarios,Rating,ID_DESARROLLADOR,ID_CONSOLA
VID_000038,Grand Theft Auto III,2001,Action,6990000,4510000,300000,1300000,13100000,97.0,56.0,85.0,664.0,M,DES_0003,CONS_006
VID_000039,Super Smash Bros. Brawl,2008,Fighting,6620000,2550000,2660000,1010000,12840000,93.0,81.0,89.0,1662.0,T,DES_0001,CONS_011
VID_000040,Mario Kart 7,2011,Racing,5030000,4019999,2690000,910000,12660000,85.0,73.0,82.0,632.0,E,DES_0001,CONS_001
VID_000041,Call of Duty: Black Ops,2010,Shooter,5990000,4370000,480000,1790000,12630000,88.0,58.0,64.0,1094.0,M,DES_0005,CONS_007
VID_000042,Grand Theft Auto V,2014,Action,3960000,6310000,380000,1970000,12610000,97.0,66.0,83.0,2899.0,M,DES_0003,CONS_008
VID_000043,Animal Crossing: Wild World,2005,Simulation,2500000,3450000,5330000,860000,12130000,86.0,57.0,87.0,242.0,E,DES_0001,CONS_002
VID_000044,Halo 3,2007,Shooter,7970000,2810000,130000,1210000,12120000,94.0,86.0,78.0,4100.0,M,DES_0002,CONS_013
VID_000045,Super Mario 64,1996,Platform,6910000,2850000,1910000,230000,11890000,,,,,,DES_0001,CONS_019
VID_000046,Pokemon HeartGold/Pokemon SoulSilver,2009,Action,4340000,2710000,3960000,760000,11770000,,,,,,DES_0001,CONS_002
VID_000047,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,4350000,3490000,3100000,740000,11680000,,,,,,DES_0001,CONS_001
VID_000048,Gran Turismo 4,2004,Racing,3010000,10000,1100000,7530000,11660000,89.0,74.0,85.0,272.0,E,DES_0004,CONS_006
VID_000049,Super Mario Galaxy,2007,Platform,6060000,3350000,1200000,740000,11350000,97.0,73.0,89.0,2147.0,E,DES_0001,CONS_011
VID_000050,Super Mario Land 2: 6 Golden Coins,1992,Adventure,6160000,2040000,2690000,290000,11180000,,,,,,DES_0001,CONS_017
VID_000051,Grand Theft Auto IV,2008,Action,6760000,3070000,140000,1030000,11010000,98.0,86.0,79.0,2951.0,M,DES_0003,CONS_013
VID_000052,Gran Turismo,1997,Racing,4019999,3870000,2540000,520000,10950000,96.0,16.0,87.0,138.0,E,DES_0004,CONS_018
VID_000053,Super Mario 3D Land,2011,Platform,4890000,3000000,2140000,780000,10810000,90.0,82.0,84.0,921.0,E,DES_0001,CONS_001
VID_000054,Gran Turismo 5,2010,Racing,2960000,4820000,810000,2110000,10700000,84.0,82.0,75.0,1112.0,E,DES_0004,CONS_007
VID_000055,Call of Duty: Modern Warfare 2,2009,Shooter,4990000,3640000,380000,1600000,10600000,94.0,67.0,63.0,2073.0,M,DES_0005,CONS_007
VID_000056,Grand Theft Auto IV,2008,Action,4760000,3690000,440000,1610000,10500000,98.0,64.0,75.0,2833.0,M,DES_0003,CONS_007
VID_000057,Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,4340000,2650000,3150000,350000,10490000,,,,,,DES_0001,CONS_003
VID_000058,Super Mario 64,2004,Platform,5010000,3070000,1250000,970000,10300000,,,,,,DES_0001,CONS_002
VID_000059,Call of Duty: Ghosts,2013,Shooter,6730000,2560000,40000,910000,10250000,73.0,29.0,26.0,2117.0,M,DES_0005,CONS_013
VID_000060,Just Dance 3,2011,Misc,5950000,3110000,0,1060000,10120000,74.0,15.0,78.0,16.0,E10+,DES_0006,CONS_011
VID_000061,New Super Mario Bros. 2,2012,Platform,3660000,3140000,2470000,630000,9900000,78.0,70.0,72.0,424.0,E,DES_0001,CONS_001
VID_000062,Mario Kart 64,1996,Racing,5550000,1940000,2230000,150000,9870000,,,,,,DES_0001,CONS_019
VID_000063,Halo: Reach,2010,Shooter,7040000,1950000,80000,790000,9860000,91.0,99.0,79.0,2045.0,M,DES_0002,CONS_013
VID_000064,Final Fantasy VII,1997,Role-Playing,3010000,2470000,3280000,960000,9720000,92.0,20.0,92.0,1282.0,T,DES_0004,CONS_018
VID_000065,Halo 4,2012,Shooter,6650000,2280000,40000,740000,9710000,87.0,87.0,70.0,3260.0,M,DES_0002,CONS_013
VID_000066,Gran Turismo 2,1999,Racing,3880000,3420000,1690000,500000,9490000,93.0,23.0,90.0,135.0,T,DES_0004,CONS_018
VID_000067,Just Dance 2,2010,Misc,5800000,2850000,10000,780000,9440000,74.0,24.0,73.0,24.0,E10+,DES_0006,CONS_011
VID_000068,Call of Duty: Ghosts,2013,Shooter,4099999,3630000,380000,1250000,9360000,71.0,10.0,26.0,1047.0,M,DES_0005,CONS_007
VID_000069,Call of Duty 4: Modern Warfare,2007,Shooter,5930000,2360000,130000,900000,9310000,94.0,70.0,84.0,1320.0,M,DES_0005,CONS_013
VID_000070,Minecraft,2013,Misc,5700000,2650000,20000,810000,9180000,,,,,,DES_0002,CONS_013
VID_000071,Animal Crossing: New Leaf,2012,Simulation,2029999,2360000,4390000,390000,9160000,88.0,70.0,87.0,626.0,E,DES_0001,CONS_001
VID_000072,Mario Party DS,2007,Misc,4400000,1850000,1980000,680000,8910000,72.0,27.0,78.0,85.0,E,DES_0001,CONS_002
VID_000073,The Elder Scrolls V: Skyrim,2011,Role-Playing,5050000,2790000,100000,850000,8790000,96.0,89.0,84.0,3589.0,M,DES_0007,CONS_013
VID_000074,FIFA 16,2015,Sports,1120000,6120000,60000,1280000,8570000,82.0,42.0,43.0,896.0,E,DES_0008,CONS_008
VID_000075,Halo 2,2004,Shooter,6820000,1530000,50000,80000,8490000,95.0,91.0,82.0,1218.0,M,DES_0002,CONS_014
VID_000076,Wii Party,2010,Misc,1750000,3470000,2490000,670000,8380000,68.0,42.0,74.0,54.0,E,DES_0001,CONS_011
VID_000077,Mario Party 8,2007,Misc,3740000,2240000,1580000,700000,8270000,62.0,41.0,63.0,190.0,E,DES_0001,CONS_011
VID_000078,FIFA Soccer 13,2012,Action,1060000,5010000,130000,1970000,8160000,88.0,37.0,66.0,348.0,E,DES_0008,CONS_007
VID_000079,GoldenEye 007,1997,Shooter,5800000,2009999,130000,150000,8090000,,,,,,DES_0001,CONS_019
VID_000080,Pokemon Black 2/Pokemon White 2,2012,Role-Playing,2790000,1720000,3140000,410000,8070000,,,,,,DES_0001,CONS_002
VID_000081,Final Fantasy X,2001,Role-Playing,2910000,2069999,2730000,330000,8050000,92.0,53.0,87.0,1056.0,T,DES_0004,CONS_006
VID_000082,The Sims 3,2009,Simulation,990000,6420000,0,600000,8010000,86.0,75.0,76.0,886.0,T,DES_0008,CONS_005
VID_000083,Mario & Sonic at the Olympic Games,2007,Sports,2570000,3860000,660000,910000,7990000,,,,,,DES_0009,CONS_011
VID_000084,Star Wars Battlefront (2015),2015,Shooter,2990000,3490000,220000,1280000,7980000,,,,,,DES_0008,CONS_008
VID_000085,Final Fantasy VIII,1999,Role-Playing,2280000,1720000,3630000,230000,7860000,90.0,24.0,86.0,644.0,T,DES_0010,CONS_018
VID_000086,Pokémon Platinum Version,2008,Role-Playing,2760000,1720000,2690000,540000,7720000,83.0,46.0,85.0,203.0,E,DES_0001,CONS_002
VID_000087,Grand Theft Auto: Liberty City Stories,2005,Action,2900000,2810000,240000,1730000,7690000,88.0,65.0,76.0,451.0,M,DES_0003,CONS_009
VID_000088,Call of Duty: Advanced Warfare,2014,Shooter,2810000,3480000,140000,1230000,7660000,83.0,39.0,57.0,1443.0,M,DES_0005,CONS_008
VID_000089,The Legend of Zelda: Ocarina of Time,1998,Action,4099999,1890000,1450000,160000,7600000,,,,,,DES_0001,CONS_019
VID_000090,FIFA 17,2016,Sports,660000,5750000,80000,1110000,7590000,85.0,41.0,50.0,398.0,E,DES_0008,CONS_008
VID_000091,Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,3780000,2170000,1310000,310000,7580000,,,,,,DES_0004,CONS_018
VID_000092,Super Smash Bros. for Wii U and 3DS,2014,Fighting,3270000,1370000,2430000,480000,7550000,,,,,,DES_0001,CONS_001
VID_000093,Super Mario Galaxy 2,2010,Platform,3560000,2350000,980000,620000,7510000,97.0,87.0,91.0,1854.0,E,DES_0001,CONS_011
VID_000094,Super Mario Bros. 2,1988,Platform,5390000,1180000,700000,190000,7460000,,,,,,DES_0001,CONS_016
VID_000095,Call of Duty: Black Ops 3,2015,Shooter,4590000,2110000,10000,680000,7390000,,,,,,DES_0005,CONS_015
VID_000096,Call of Duty: World at War,2008,Shooter,4810000,1880000,0,690000,7380000,84.0,84.0,76.0,580.0,M,DES_0005,CONS_013
VID_000097,Battlefield 3,2011,Shooter,4460000,2110000,60000,690000,7320000,84.0,57.0,74.0,2142.0,M,DES_0008,CONS_013
VID_000098,Need for Speed Underground,2003,Racing,3270000,2830000,80000,1020000,7200000,85.0,33.0,86.0,171.0,E,DES_0008,CONS_006
VID_000099,Just Dance,2009,Misc,3480000,2990000,0,730000,7200000,49.0,21.0,80.0,110.0,E10+,DES_0006,CONS_011
VID_000100,Battlefield 3,2011,Shooter,2850000,2890000,350000,1080000,7170000,85.0,38.0,75.0,1761.0,M,DES_0008,CONS_007
VID_000101,Fallout 4,2015,Role-Playing,2530000,3270000,240000,1130000,7160000,87.0,58.0,65.0,4228.0,M,DES_0007,CONS_008
VID_000102,Tekken 3,1998,Fighting,3270000,2220000,1400000,290000,7160000,96.0,15.0,91.0,367.0,T,DES_0004,CONS_018
VID_000103,The Legend of Zelda: Twilight Princess,2006,Action,3740000,2140000,600000,680000,7150000,95.0,73.0,90.0,1658.0,T,DES_0001,CONS_011
VID_000104,Pokemon Sun/Moon,2016,Role-Playing,2980000,1450000,2260000,450000,7140000,,,,,,DES_0001,CONS_001
VID_000105,Crash Bandicoot 3: Warped,1998,Platform,3680000,1750000,1420000,280000,7130000,91.0,12.0,89.0,432.0,E,DES_0004,CONS_018
VID_000106,Mario Kart 8,2014,Racing,3150000,2150000,1280000,510000,7090000,88.0,82.0,91.0,1599.0,E,DES_0001,CONS_012
VID_000107,Super Smash Bros. Melee,2001,Fighting,4410000,1040000,1390000,220000,7070000,92.0,38.0,91.0,568.0,T,DES_0001,CONS_004
VID_000108,Mario Kart: Double Dash!!,2003,Racing,4120000,1770000,870000,190000,6950000,,,,,,DES_0001,CONS_004
VID_000109,Need for Speed Underground 2,2004,Racing,2710000,3020000,80000,1090000,6900000,82.0,39.0,86.0,132.0,E,DES_0008,CONS_006
VID_000110,Medal of Honor: Frontline,2002,Shooter,2930000,2750000,170000,990000,6830000,88.0,29.0,85.0,135.0,T,DES_0008,CONS_006
VID_000111,Crash Bandicoot,1996,Platform,3230000,2350000,940000,300000,6820000,,,,,,DES_0004,CONS_018
VID_000112,Just Dance 4,2012,Misc,4050000,2160000,0,550000,6760000,74.0,10.0,73.0,28.0,E10+,DES_0006,CONS_011
VID_000113,Gears of War 2,2008,Shooter,4150000,1900000,60000,640000,6750000,93.0,90.0,77.0,2739.0,M,DES_0002,CONS_013
VID_000114,Uncharted 3: Drake's Deception,2011,Action,2770000,2750000,190000,1030000,6740000,92.0,97.0,83.0,3712.0,T,DES_0004,CONS_007
VID_000115,Zumba Fitness,2010,Sports,3450000,2590000,0,660000,6710000,,,,,E,DES_0012,CONS_011
VID_000116,Call of Duty 4: Modern Warfare,2007,Shooter,3110000,2260000,280000,1030000,6680000,94.0,44.0,84.0,993.0,M,DES_0005,CONS_007
VID_000117,Uncharted 2: Among Thieves,2009,Action,3270000,2200000,210000,980000,6660000,96.0,105.0,88.0,5187.0,T,DES_0004,CONS_007
VID_000118,FIFA 12,2011,Sports,840000,4300000,110000,1390000,6650000,,,,,,DES_0008,CONS_007
VID_000119,Big Brain Academy,2005,Misc,1660000,2750000,1600000,620000,6620000,74.0,45.0,74.0,27.0,E,DES_0001,CONS_002
VID_000120,The Legend of Zelda,1986,Action,3740000,930000,1690000,140000,6510000,,,,,,DES_0001,CONS_016
VID_000121,Red Dead Redemption,2010,Action,2790000,2530000,170000,990000,6490000,95.0,73.0,88.0,2456.0,M,DES_0003,CONS_007
VID_000122,FIFA 14,2013,Sports,780000,4240000,70000,1370000,6470000,86.0,37.0,43.0,576.0,E,DES_0008,CONS_007
VID_000123,Assassin's Creed III,2012,Action,2640000,2520000,160000,1120000,6450000,85.0,41.0,69.0,1307.0,M,DES_0006,CONS_007
VID_000124,Donkey Kong Country Returns,2010,Platform,3170000,1790000,1030000,460000,6440000,87.0,77.0,86.0,368.0,E,DES_0001,CONS_011
VID_000125,Halo: Combat Evolved,2001,Shooter,4980000,1300000,80000,70000,6430000,97.0,68.0,86.0,1283.0,M,DES_0002,CONS_014
VID_000126,The Elder Scrolls V: Skyrim,2011,Role-Playing,2550000,2600000,250000,1000000,6410000,92.0,16.0,64.0,2527.0,M,DES_0007,CONS_007
VID_000127,Pokémon Emerald Version,2004,Role-Playing,2570000,1580000,2060000,210000,6410000,76.0,28.0,90.0,222.0,E,DES_0001,CONS_003
VID_000128,Kingdom Hearts,2002,Role-Playing,3640000,1200000,1490000,70000,6400000,85.0,46.0,88.0,597.0,E,DES_0004,CONS_006
VID_000129,Pokémon Crystal Version,2000,Role-Playing,2550000,1560000,1290000,990000,6390000,,,,,,DES_0001,CONS_017
VID_000130,Halo 3: ODST,2009,Shooter,4340000,1340000,60000,610000,6340000,83.0,94.0,71.0,1163.0,M,DES_0002,CONS_013
VID_000131,Red Dead Redemption,2010,Action,3700000,1950000,90000,580000,6320000,95.0,96.0,90.0,2316.0,M,DES_0003,CONS_013
VID_000132,Super Mario Sunshine,2002,Platform,4010000,1260000,870000,170000,6310000,92.0,61.0,86.0,439.0,E,DES_0001,CONS_004
VID_000133,World of Warcraft,2004,Role-Playing,80000,6210000,0,0,6290000,93.0,57.0,73.0,2182.0,T,DES_0005,CONS_005
VID_000134,Driver,1999,Action,3110000,2800000,20000,330000,6270000,87.0,22.0,81.0,78.0,T,DES_0014,CONS_018
VID_000135,Gears of War 3,2011,Shooter,4050000,1590000,70000,500000,6210000,91.0,96.0,78.0,1504.0,M,DES_0002,CONS_013
VID_000136,Kinect Sports,2010,Sports,3920000,1730000,30000,510000,6190000,73.0,51.0,74.0,95.0,E10+,DES_0002,CONS_013
VID_000137,Gears of War,2006,Shooter,3540000,1880000,70000,600000,6090000,94.0,88.0,83.0,2295.0,M,DES_0002,CONS_013
VID_000138,FIFA 15,2014,Sports,800000,4330000,50000,900000,6080000,82.0,47.0,57.0,988.0,E,DES_0008,CONS_008
VID_000139,Metal Gear Solid 2: Sons of Liberty,2001,Action,2450000,2009999,870000,720000,6050000,96.0,42.0,87.0,1026.0,M,DES_0015,CONS_006
VID_000140,Sonic the Hedgehog 2,1992,Platform,4470000,1200000,160000,190000,6030000,,,,,,DES_0009,CONS_021
VID_000141,Metal Gear Solid,1998,Action,3180000,1830000,780000,240000,6030000,94.0,20.0,94.0,918.0,M,DES_0015,CONS_018
VID_000142,Metal Gear Solid 4: Guns of the Patriots,2008,Action,2630000,1710000,830000,820000,5990000,94.0,82.0,87.0,3558.0,M,DES_0015,CONS_007
VID_000143,Final Fantasy XII,2006,Role-Playing,1880000,0,2330000,1740000,5950000,92.0,64.0,76.0,972.0,T,DES_0016,CONS_006
VID_000144,The Last of Us,2013,Action,2410000,2180000,280000,990000,5870000,95.0,98.0,91.0,8003.0,M,DES_0017,CONS_007
VID_000145,LittleBigPlanet,2008,Platform,2800000,1980000,170000,870000,5820000,95.0,85.0,68.0,5311.0,E,DES_0004,CONS_007
VID_000146,Resident Evil 2,1998,Action,1880000,1470000,2020000,450000,5820000,89.0,13.0,92.0,364.0,M,DES_0018,CONS_018
VID_000147,Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,630000,670000,4350000,150000,5780000,87.0,65.0,88.0,197.0,E10+,DES_0001,CONS_002
VID_000148,Tekken 2,1996,Fighting,2260000,1890000,1360000,230000,5740000,89.0,8.0,89.0,102.0,T,DES_0004,CONS_018
VID_000149,Destiny,2014,Shooter,2490000,2069999,160000,920000,5640000,76.0,95.0,61.0,5380.0,T,DES_0005,CONS_008
VID_000150,LEGO Star Wars: The Complete Saga,2007,Action,3570000,1550000,0,510000,5640000,80.0,17.0,89.0,62.0,E10+,DES_0019,CONS_011
VID_000151,Cooking Mama,2006,Simulation,3070000,1910000,70000,570000,5630000,67.0,35.0,72.0,21.0,E,DES_0012,CONS_002
VID_000152,Tetris,1988,Puzzle,2970000,690000,1810000,110000,5580000,,,,,,DES_0001,CONS_016
VID_000153,Super Smash Bros.,1999,Fighting,2950000,600000,1970000,40000,5550000,,,,,,DES_0001,CONS_019
VID_000154,Assassin's Creed II,2009,Action,2540000,1930000,210000,860000,5550000,91.0,70.0,86.0,1202.0,M,DES_0006,CONS_007
VID_000155,Assassin's Creed,2007,Adventure,3280000,1640000,70000,560000,5540000,81.0,77.0,77.0,1074.0,M,DES_0006,CONS_013
VID_000156,Forza Motorsport 3,2009,Racing,2990000,1900000,100000,500000,5490000,92.0,90.0,80.0,516.0,E,DES_0002,CONS_013
VID_000157,Super Mario Advance,2001,Platform,3140000,1240000,910000,200000,5490000,84.0,19.0,78.0,41.0,E,DES_0001,CONS_003
VID_000158,Monster Hunter Freedom Unite,2008,Role-Playing,470000,550000,4130000,340000,5480000,81.0,48.0,87.0,124.0,T,DES_0013,CONS_009
VID_000159,Batman: Arkham City,2011,Action,2710000,1850000,110000,810000,5480000,96.0,42.0,86.0,2162.0,T,DES_0020,CONS_007
VID_000160,Grand Theft Auto V,2014,Action,2810000,2190000,0,470000,5480000,97.0,14.0,79.0,764.0,M,DES_0003,CONS_015
VID_000161,Mario Kart: Super Circuit,2001,Racing,2620000,1640000,990000,230000,5470000,93.0,24.0,83.0,108.0,E,DES_0001,CONS_003
VID_000162,Super Mario World,2001,Platform,3210000,1110000,950000,200000,5460000,,,,,,DES_0001,CONS_003
VID_000163,Pokemon Stadium,1999,Strategy,3180000,1240000,940000,90000,5450000,,,,,,DES_0001,CONS_019
VID_000164,Crash Bandicoot: The Wrath of Cortex,2001,Platform,2069999,2290000,240000,820000,5420000,66.0,22.0,71.0,156.0,E,DES_0021,CONS_006
VID_000165,Call of Duty: World at War,2008,Shooter,2730000,1830000,0,830000,5390000,85.0,45.0,76.0,409.0,M,DES_0005,CONS_007
VID_000166,Uncharted 4: A Thief's End,2016,Shooter,1850000,2500000,190000,850000,5380000,93.0,113.0,79.0,7064.0,T,DES_0004,CONS_008
VID_000167,Dr. Mario,1989,Puzzle,2180000,960000,2000000,200000,5340000,,,,,,DES_0001,CONS_017
VID_000168,Final Fantasy XIII,2009,Role-Playing,1740000,1210000,1870000,510000,5330000,83.0,83.0,73.0,2483.0,T,DES_0016,CONS_007
VID_000169,Pokemon Pinball,1999,Misc,3020000,1120000,1010000,160000,5310000,,,,,,DES_0001,CONS_017
VID_000170,Final Fantasy IX,2000,Role-Playing,1620000,770000,2780000,140000,5300000,94.0,22.0,89.0,779.0,T,DES_0010,CONS_018
VID_000171,Assassin's Creed III,2012,Action,3130000,1690000,30000,440000,5290000,84.0,61.0,67.0,1196.0,M,DES_0006,CONS_013
VID_000172,Final Fantasy X-2,2003,Role-Playing,1920000,1080000,2110000,170000,5290000,85.0,45.0,66.0,400.0,T,DES_0008,CONS_006
VID_000173,Donkey Kong 64,1999,Platform,3330000,790000,1090000,60000,5270000,,,,,,DES_0001,CONS_019
VID_000174,Call of Duty: Advanced Warfare,2014,Shooter,3220000,1550000,10000,480000,5270000,81.0,53.0,54.0,898.0,M,DES_0005,CONS_015
VID_000175,Minecraft,2014,Misc,2029999,2370000,0,870000,5260000,,,,,,DES_0004,CONS_007
VID_000176,Assassin's Creed II,2009,Action,3110000,1550000,80000,510000,5260000,90.0,82.0,88.0,1305.0,M,DES_0006,CONS_013
VID_000177,Tomb Raider II,1997,Action,2300000,2460000,200000,280000,5240000,85.0,13.0,,,T,DES_0022,CONS_018
VID_000178,Tomodachi Life,2013,Simulation,970000,2110000,1900000,240000,5230000,,,,,,DES_0001,CONS_001
VID_000179,New Super Mario Bros. U,2012,Platform,2300000,1340000,1270000,320000,5220000,84.0,70.0,81.0,733.0,E,DES_0001,CONS_012
VID_000180,Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,650000,750000,3610000,200000,5210000,89.0,63.0,88.0,245.0,T,DES_0016,CONS_006
VID_000181,Super Mario Bros. 3,2003,Platform,2930000,1250000,830000,200000,5200000,,,,,,DES_0001,CONS_003
VID_000182,Professor Layton and the Curious Village,2007,Puzzle,1210000,2430000,1030000,520000,5190000,85.0,72.0,86.0,147.0,E,DES_0001,CONS_002
VID_000183,Super Mario Land 3: Wario Land,1994,Platform,2490000,980000,1570000,150000,5190000,,,,,,DES_0001,CONS_017
VID_000184,FIFA Soccer 13,2012,Action,1090000,3470000,30000,570000,5160000,90.0,48.0,61.0,403.0,E,DES_0008,CONS_013
VID_000185,Diablo III,2012,Role-Playing,2440000,2160000,0,540000,5140000,88.0,86.0,40.0,9629.0,M,DES_0005,CONS_005
VID_000186,Medal of Honor: Rising Sun,2003,Shooter,1980000,2230000,130000,800000,5130000,68.0,30.0,76.0,100.0,T,DES_0008,CONS_006
VID_000187,Kirby's Dream Land,1992,Platform,2710000,610000,1700000,110000,5130000,,,,,,DES_0001,CONS_017
VID_000188,Microsoft Flight Simulator,1996,Simulation,3220000,1690000,0,200000,5120000,,,,,,DES_0002,CONS_005
VID_000189,Guitar Hero II,2006,Misc,3810000,630000,0,680000,5120000,92.0,69.0,85.0,112.0,T,DES_0023,CONS_006
VID_000190,Fable III,2010,Role-Playing,3590000,1080000,50000,380000,5100000,80.0,88.0,65.0,604.0,M,DES_0002,CONS_013
VID_000191,Mario & Sonic at the Olympic Games,2008,Sports,1630000,2450000,440000,570000,5090000,,,,,,DES_0009,CONS_002
VID_000192,Resident Evil 5,2009,Action,1960000,1410000,1080000,640000,5090000,84.0,76.0,75.0,667.0,M,DES_0013,CONS_007
VID_000193,The Legend of Zelda: Phantom Hourglass,2007,Action,1850000,1800000,950000,480000,5080000,90.0,57.0,80.0,416.0,E,DES_0001,CONS_002
